sr. no,sentence,aspect,sentiment score,label
85,"I'm not sure I understand the ones beyond the patient portals provided by my healthcare providers. I see benefit to having access to my own info.
 I don't want my personal health info available for others to use for profit, which I assume most 3rd party apps would be. ",access,0.7714,positive
86,"
Patient portal is beneficial for individuals to have all their health information in one place updated accurately and efficiently for the use of self or for providers. Creates an easy access to medical professionals. 

Apple health records is convenient to have lesser important health info to help with remembering things maybe like while working out hr and blood type and important allergy and meds.

Third party  apps are more dangerous as they are likely to get hacked and utilize your data without consent. ",access,0.907,positive
88,Data management maybe. A data breach would be costly though.,cost,-0.1027,negative
90,"the costs would be giving something that can be hacked or accessed by someone who shouldn't my medical records.
the benefits would be easy and concise storage of my medical records.",cost,0.6369,positive
92,I really have no idea of the cost. I care about how secure my information is. A benefit would be you can have quick access to it in an emergency also it can be a tool to help maintain your health.,cost,0.7369,positive
93,"The costs are possible security lapses, with the possibility of too many parties being able to access your personal information.  The only benefits are for those people too lazy to look up this information when they can do so in a more secure manner.",cost,0.7996,positive
94,The benefits of a patient portal is that ghe information is provided by the Healthcare provider and protected and with inherent apps I don't know how protected my information would be. ,benefits,0.8126,positive
95,"It helps to have everything in one place for sharing information and coordinating treatment. This isn't always possible when more than one health facility, group, or physician is involved, because the portals don't always make syncing the information easy or intuitive. If all of the various medical providers--hospitals, physicians, adjunctive therapists, etc--would allow Apple Health to access all of the individual portals, the information could be consolidated in one place or app.",access,0.8481,positive
96,"I see many benefits and few drawbacks to patient portals provided by a user’s healthcare organization; however, when it comes to private, for-profit corporations I grow weary because companies like Apple are known for selling the data and information of their users.",benefits,0.4588,positive
97,There are no costs associated with the patient portals I've used and their benefits are very good. I like the idea of using Apple apps so that I have quick access to the information when I need it anywhere I go. I would weigh the costs/benefits on an app by app basis for third party apps.,cost,0.8431,positive
100,Maybe a small subscription or one time fee of $10 or less for access to the apps.  it has to be able to ensure and let me know of security breaches.  I would'nt mind an app such as common health but I don't trust 3rd party sites and apps.  i feel that there should be one place for all records to be securely kept.,trust,-0.212,negative
101,"cost id privacy and security, anything someone can develop, someone else can hack, and everything is for sale at the right price to someone. Benefit is all your info at your fingertips in one place.",cost,0.6597,positive
102,"There are benefits to the patient portal in being able to access your medical health records.  However, there are risks when using third-party apps due to privacy concerns.",benefits,0.128,positive
103,"I think it could help people a lot, but with any app that people use everyday there is a risk of data being sold/stolen--especially as a result of agreement to long terms and conditions forms which are designed to be hard to interpret. Sometimes, people prioritize the ease of using apps/technologies like these over protecting their personal data/being fully informed about their personal data. ",risk,0.8555,positive
104,"Patient portals are almost necessary today.CommonHealth would need some good reason for me to need to download my records. Yes, I may want copies but I do worry about security. Third-party apps are good for letting me track certain information but I would not trust anyone with vital or medically specific information. I just don't know who can get access to those third-party apps' databases.",trust,0.7874,positive
105,It would be great to have all records accessible in one place as long as you don't need to log into each specific app once getting into the common health app. THe drawback would be the question of how secure it is both on the phone and in the cloud. I'm assuming that passwords for all the various apps would be provided to the CommonHealth app. Who would have access to those at Commonhealth and the data behind them. Also for old people it would need to be very simple to set up and  use.  We are frustrated by many of the apps out there now.  It would seem that it could take some time and frustration to get various apps linked to this new one. ,access,0.0,negative
107,The cost would be potential privacy concerns. The benefits would be ease of use and efficiency.,cost,0.765,positive
108,the benefits of this is easy access to your information should it be quickly needed in the event of an accident,benefits,0.34,positive
109,I think these technologies could help to improve communication between patients and doctors as well as making health more accessible. I think the cost is a level of privacy that is lost.,cost,0.6597,positive
111,The benefits are keeping track of my records. But there is a chance of being hacked.,benefits,-0.0644,negative
112,"The costs would be medical privacy and risk you could be targeted to spend money on healthcare ailments by private companies. The benefit would be having easy access to the information, efficiencies in quickly getting that information for yourself or another healthcare provider wanting patient history, and the benefits research could have in accessing your data to develop treatments for whatever conditions you may have.",cost,0.8402,positive
113,The costs are possible identity and info theft. The benefits are having a more convenient life. ,cost,0.3818,positive
114,These functions will ultimately increase the cost of healthcare. Their use and support must be financed by someone and that will surely fall onto the end-user.,cost,0.7845,positive
115,"A benefit of these different technologies is that patients are able to easily store their health information in an accessible manner. Additionally, this information can be shared for societal benefit. Beside the patient portal, there are security and confidentiality costs to the 3rd party technologies.",cost,0.9313,positive
118,"The benefit is ease of use, and having access to information in a convenient manner. The cost is personal privacy in some aspects. ",cost,0.6705,positive
119,"I think the benefits are accessibility when getting medication mostly.  Maybe its nice for test results, but for allergies it seems a bit much. We all know these third party apps and Apple will be selling the personal data you give it...",benefits,0.7391,positive
120,"Various technologies will help me access all medical information in a timely manner, and also allow me to communicate with my health providers quickly.  The cost is to possibly give up privacy as outside entities may try to access my information.",cost,0.5574,positive
121,"I like to have my information consolidated into one place and I also like to be able to communicate with my providers and schedule appts within the same platform. I like being able to access my information easily and I like that my healthcare providers can also access my information, which helps streamline medical appts.

I don't like to have my information stored across multiple platforms/apps, particularly when I don't necessarily have control over how my information is used and by whom. ",access,0.9382,positive
122,I worry about my records being in too many places accessible to others,access,-0.4404,negative
123,"While the benefits of such technologies are straightforward, I would need more information before being more comfortable with them.",benefits,0.7346,positive
124,Benefits are easier access to your records and can allow for better research. ,access,0.8481,positive
127,I think it not too much cost.,cost,0.0,negative
128,"I think it is beneficial to track your health considering most people have their phones with them everywhere they go. So, tracking via apple is very nice even though I don't have personal experience with it. I like patient portals for the most part except for the easy access to personal info (if you leave account logged in, etc.) and that could be used maliciously. I like the smartphone apps because of how easy it is to access info as well as being locked down fairly well (fingerprint or facial recognition) ",access,0.9571,positive
130,The benefits are that my health is better. The costs are that my eyesight gets worse as I go on my phone.,cost,0.34,positive
132,"Able to easily access information, but risk that information could be accessed by someone else without permission.",risk,-0.2382,negative
134,I would not pay to use the portal. And the only benefit is convenience and accessibility on my mobile phone-- which I may or may not utilize. ,access,0.51,positive
136,"The benefits are that you can easily access your health data so you don't have to remember your exact diagnosis, or if you forget what your medication is called, or have reminders for appointments. I suppose you could also track changes in your blood pressure, weight, and anything you learn from a blood sample as you can have all the data there, and not have to remember what it was the last time you went.

The biggest cost is that your information is on the internet. I realize there's already a whole lot of info about me already out there, but it seems the medical is stuff is just a bit more private (to me) to want to risk it being used in a way without my consent.",cost,-0.4116,negative
137,"I see the benefit for people who physically or mentally are incapable of getting to a facility that can offer them health assistance. Especially since the pandemic, having alternate ways to communicate with your health care providers has become crucial to ensure people everywhere have access to safe health care. ",access,0.9062,positive
138,As I said in the previous reply - personal privacy,privacy,0.0,negative
140,I only trust my doctors ,trust,0.5106,positive
141,Convenience.  Having access to information that would otherwise be hard for me to get.,access,-0.1027,negative
144,"In any sort of application, there will always be privacy concerns, including how the data is stored, who has access to it, and whether the data is visible individually or exclusively in aggregate. There can also be concerns over how the data is used; for example, whether it is used for the creation of targeted ads or if it is going to the benefit of medical research.",privacy,0.6249,positive
145,I primarily see these as unnecessary at the moment and one more risk to data security.  ,risk,0.0018,positive
147,"I know for a fact that their are many benefits to patient portals because it allows your pcp to see all the different doctors you have seen, the meds you are on and the treatment plans you are following, so they can easily change something or catch something that's not right. Also, it's low risk as they do not use third parties for anything and your data is private. The rest seem that like your data can be breeched or shared.",benefits,0.5727,positive
148,There are good benefits to all of them. Public health and research is definitely a good thing. I currently don't have any health problems that would be a big deal if everyone knew about when it comes to being worried about third-party apps. The benefits outweigh the cons when it comes to convenience and being able to see your own information whenever you need to. ,benefits,0.8316,positive
149,"I believe one of the biggest benefits for these types of apps is that it allows the patient to have all of their medical information in one place and allows it to be easily accessible. Oftentimes doctor offices are busy, and getting in touch with one's doctor is difficult, so to have this information readily available to the patient can save them time and stress. The main downside, of course, would be the risk of one's information being hacked into and stolen. However, it seems many people would rather take that risk versus having their records and other information stored in paper files and things of the like.",benefits,-0.6908,negative
150,I know nothing of the costs. These apps really are handy to have for info but they are really bad when it comes to privacy. They are very invasive.,cost,-0.7343,negative
151,Ease of access to my records so I don't have to jump through hoops to get my information. ,access,0.3612,positive
152,"I don't really care who knows what about what, I just want the information available to me for when I need it, ie when I am changing doctors. This seems like a way to be able to access that information, as long as the providers input the information.",access,-0.0116,negative
153,I think the costs are that you lose patient confidentiality and priacy when you share medical information with these technologies. The benefits would be that these apps can communicate freely with your medical provider to keep your treatment strategy most effective and current.,cost,0.8122,positive
154,"patient portal apps are handy for the patient to keep up with lab tests and communicate with their doctors. I suppose both Apple Health Records and CommonHealth would also be handy for keeping up with labs, exercise, and treatment plans. Third-party apps are a little iffier, I'd prefer something like that to be anonymous especially if used for research purposes. ",CommonHealth,0.3612,positive
155,"Patient portals allow you to have the best health possible and be proactive with it. There is not costs in this. For third party services, the cost is having your personal information out in the open",cost,0.891,positive
156,"Different types of technologies have different uses and programming to allow for a variety of things. However the more technologies you use, the more you run the risk of having problems. ",risk,-0.4404,negative
158,I don't think there's really any costs. The benefits is it just makes your life easier.,cost,0.6597,positive
161,"The costs would be potential loss of privacy and use of personal information for nefarious means.  The benefits would be accessibility to health records, personal information, and treatment plans across various providers.",cost,0.0772,positive
163,"I enjoy the convenience of accessing my test results from my providers' patient portals, although I'm a little concern of data being used by other parties without my knowledge.  I would not be comfortable sharing my data with other types, even though I understand my data may be useful for research purposes.",access,0.5812,positive
164,"The patient portal is the most secure and could be the only one necessary to use. Third partty apps could be useful, but they introduce more security and privacy concerns.",privacy,0.7458,positive
165,"The benefits are that our medical information is more easily accessible for ourselves -- we can easily share it with trusted people, and maintain a clearer view of our medical history and current health. 
However, it costs us our privacy -- our information could be sold or used for analytical / targeting purposes that may violate our privacy. ",cost,0.8437,positive
166,"Benefits of it are having personally accessible records and having a digital copy for myself, and I can share them during appointments if necessary. I would not allow third party access as they tend to sell your data and that is not acceptable to me.",access,-0.0222,negative
167,I just don't see the reason to give more access to more info for giant tech corps to sell to whoever they want. Patient portal for dr visits and such is fine,access,0.2732,positive
168,"The benefits are the ease in which I can access my records.  I can walk and it logs it in apple health.  I can then show that to my doctor along with my blood pressure readings.

I have not found any negatives.",benefits,0.4404,positive
169,I don't see very many costs; some people might be concerned about privacy but I don't care that much. The benefit is having a lot of information about your medical condition be easily accessible.,cost,0.5659,positive
172,"It may be convenient to have your medical record at any time, but your personal data could very well just be sold anywhere or possibly be used without your consent. I would have to thoroughly research the company before trusting them a good amount.",trust,0.8587,positive
173,"Patient portal is most beneficial as it gives direct access to my doctors.
Other apps there is always the uneasiness of their privacy policies",privacy,0.1513,positive
174,"The cost is that the information can be bought or stolen and potentially used against me. For example, to raise my health insurance costs.

The benefits, for me, greatly outweigh the potential cost. The benefits are having all of your healthcare information conveniently located in one place and being able to share it with your providers to help make up-to-date healthcare decisions. ",cost,0.7096,positive
176,I think it's cost effective because no calls to get results and no paperwork. ,cost,-0.0772,negative
177,"The cost I believe is a potential breach of HIPAA, on that same account, being able to share medical information with several providers would be easier ",cost,0.6124,positive
178,Different type of technologies make it easier for people to decide what they want to do with medical records. I think a cost is literally the cost it would take to develop different types of technologies. ,cost,0.4767,positive
179,"I like the ease of being able to send a message about medications or refills rather than call 
I dont like that they can be hard to navigate and gain access to
The cost of other types of technologies besidse patient portals are losing rights to your own data",cost,0.7845,positive
180,Patient portals  are very useful and are the most secure. I do not trust other apps to securely maintain my personal health records                                                                       ,trust,0.6792,positive
181,I think that patient portals are useful tools in general for communicating with your provider and in general makes the interaction smoother and easier. Such technologies don’t really have a cost but just benefit your relationship with your provider. Apple health records may cost us a bit of our privacy for additional convenience. Third party apps cost us more of our privacy which affects ads being shown to us for additional convenience of usage of the apps for reminders or ads to sell us treatments.,cost,0.886,positive
184,It helps to have health info in one central place but it comes at the cost of you privacy. Apps might use m info to sell products to me.,cost,0.2023,positive
186,"Patient Portal - extremely helpful and valuable additional resource provided by PCP, Hospital or Lab and aids healthcare management. Should be offered free as currently.
AppleHealth or CommonHealth - if it is provided as part of the phone service then that is also a good resource. I do use Apple's Health to track my steps but not for any other purpose right now.
Third Party - useful if you know what benefit you would get and how protected your data would be when using these third party applications. Some would be at a cost, some would be free but I would have to assess the benefits over what I'm currently using to track my healthcare.",cost,0.9872,positive
187,"Accessability and tracking are the primary benefit. I like the ability to have all my data at my fingertips. On the other hand, it could be a problem if someone was able to access the data without my permission or there would be malware in the app.",access,0.8074,positive
188,"I can see the benefit being easy access to information, easy to share, keeps it in one place, do not need to store papers. Cons would be data risks and privacy concerns. ",risk,0.836,positive
189,"Apps are super convenient in so many ways. Specifically because all the information you need is right there on your phone. It makes it very easy to access whatever you need at anytime of the day. However, privacy is always a concern. It can be hard to trust ""third party apps"" because they can be sketchy sometimes. Medical records are extremely sensitive and need the most protection possible.",privacy,0.9134,positive
191,The benefit is the convenience of having quick access to your records. The costs would be risk of loss of privacy.,cost,-0.1027,negative
192,Having a patient portal only has benefits they are extremely safe and allow you to access info easily. As for Apple Health Records and CommonHealth they provide a benefit in combining and making information even more accessible than a patient portal but the information they collect is less safe and third party apps have not been known to keep information safe and the small benefit that you would get for connecting them to clinical data from Common health would not be worth it.,benefits,0.9695,positive
194,I can see these apps being helpful for managing an existing condition or improving lifestyle choices. I’m just not sure how comfortable I am about my personal information being widely available—I’d need to know more about security before wanting to do it. I’m fine with my health information shared generically for societal benefits.,benefits,0.8561,positive
195,"Patient Portal
Cost: Possible increased medical costs for service
Benefit: Ease of use, breaking down the barriers to care, real time view of current state of heath

Apple Heath Record
Cost: Potential added monthly cost for service that might be out of health insurance coverage
Benefit: Integration of health data from smart watch could give deeper insight into patients health and spot issues in advance

Third Party Apps
Cost: Data security issues, data privacy issues
Benefit: unknown",cost,0.9705,positive
197,I am hugely concerned about hacking into the account and information being shared or sold for marketing issues.  I would love an app with prescription and appointment reminders.  I do love having all my medical records readily accessible to me.,access,0.8957,positive
198,"I see it primarily as a great convenience for me in not only consolidated access of my health records, but prescription management as well.",access,0.6369,positive
199,"I do not see many additional benefits beyond what I get through my patient portal.  The site is relatively small, so I feel it is more secure.  I do not need anything offered by the other technologies, unless my doctor wants it, and all I would get in return is more of a threat of compromised records.",benefits,0.1567,positive
200,"Patient portal is direct information from my provider, Apple would intergrate with all my other products within their ecosystem and third party apps may have unique benefits I'm unaware of",benefits,0.5423,positive
201,A patient portal can be very beneficial because of it showing all relevant medical information. It can also be easy to use and quick to access. The same goes for CommonHealth or Applehealth. Third party apps do not need access to my medical records.,access,0.8313,positive
203,"The cost for any of these options is the risk of a security breach and having your personal data be public knowledge. There is no software or portal that is 100% secure. By using only my patient portal I feel like I have more control over my data and have lessened the security risk. Using Apple Health Records, CommonHealth, or other third party apps leaves all of my data vulnerable. Even if those apps are secure enough to deter hackers who's to say that every employee, with access to health data, is a completely competent and honest person. Are these companies doing background checks on all employees? Are these employees with access being paid well enough to stay focused and follow proper protocols? For example, if a lot of their employees are making minimum wage and have not had their background checked there is little incentive for them to do everything it takes to keep your data safe.",cost,0.9675,positive
204,"For the patient portal, I see many benefits since my healthcare provider can see my information and treat me best with the information. With Apple Records and third party apps, I am a little less comfortable with my information being shared since I don't know how secure they are. I would rather do more research on the sites before using them.",benefits,0.9359,positive
205,"Benefits would be an easier way for me to decide who gets what information.  Also, it would make going to a new doctor easier as you could give them allergy, surgery, medicine, etc. information through this rather than filling out a lot of paperwork at each office/hospital/clinic, etc.  The costs would be privacy.  I think with more electronic means there is an exponentially high risk of people accessing things they shouldn't be able to access without permission.",cost,0.7269,positive
206,"Costs to privacy , leaks of information.
Benefits would be an app to manage healthcare.",privacy,0.3818,positive
207,im able to easily access my records,access,0.34,positive
208,I don't feel apps are as private as a patient portal directly from a medical office or hospital. There are too many things to go through and between with apps. I also don't like the idea that apps have access to other information on my phone and can then put together more of a profile.,access,-0.2755,negative
209,It allows easy access where it may have once taken days or hours to receive info that was necessary to provide a treatment plan.,access,0.4404,positive
211,I think It’s beneficial to have easy access to your information but a risk because it could get in the wrong hands ,risk,-0.5994,negative
213,Convenience is a major benefit. Sharing of data would advance research for societal benefits.  Major risk is the loss of privacy and breach of personal information.  All this depends on how information is used. Whether identifying information is scrubbed etc.  ,benefits,0.6124,positive
215,I understand that the information is helpful for research purposes but want to protect my privacy about what is connected to my name and available for others to see.,privacy,0.6956,positive
216,I think that risks of data breeches outweight the benefti of convenience.,risk,-0.2732,negative
218,"The benefits are that they provide for an at home way to keep track of your medical history which may be more accessible than having to call a doctor's office for the information. However, the potential for security leaks with the information seems to be a risk not worth the trade off.",benefits,0.3036,positive
219,As long as they don't cost and are very secure I can see all would be good to a point.  Just have to be very secure.,cost,0.8067,positive
